mbin,histogram
0.0200,0.3938
0.0600,1.0424
0.1000,1.7374
0.1400,2.0866
0.1800,2.3268
0.2200,2.3354
0.2600,2.2650
0.3000,2.0016
0.3400,1.7159
0.3800,1.4045
0.4200,1.1745
0.4600,0.9438
0.5000,0.8382
0.5400,0.7164
0.5800,0.6426
0.6200,0.5465
0.6600,0.5096
0.7000,0.4273
0.7400,0.3912
0.7800,0.3938
0.8200,0.3398
0.8600,0.2479
0.9000,0.2214
0.9400,0.1776
0.9800,0.1201
