mbin, hist 
  0.0200,   0.2861 
  0.0600,   0.8779 
  0.1000,   1.4409 
  0.1400,   1.8593 
  0.1800,   2.1044 
  0.2200,   2.2819 
  0.2600,   2.2142 
  0.3000,   2.0952 
  0.3400,   1.8757 
  0.3800,   1.6573 
  0.4200,   1.3999 
  0.4600,   1.1773 
  0.5000,   0.9322 
  0.5400,   0.7979 
  0.5800,   0.6512 
  0.6200,   0.5446 
  0.6600,   0.5282 
  0.7000,   0.4287 
  0.7400,   0.4092 
  0.7800,   0.3415 
  0.8200,   0.3138 
  0.8600,   0.2441 
  0.9000,   0.2123 
  0.9400,   0.1959 
  0.9800,   0.1302 
