mbin, hist 
  0.0200,   0.1026 
  0.0600,   0.2272 
  0.1000,   0.3279 
  0.1400,   0.5001 
  0.1800,   0.6686 
  0.2200,   0.8610 
  0.2600,   1.0222 
  0.3000,   1.1156 
  0.3400,   1.2952 
  0.3800,   1.4051 
  0.4200,   1.4820 
  0.4600,   1.6121 
  0.5000,   1.6634 
  0.5400,   1.6121 
  0.5800,   1.6176 
  0.6200,   1.6396 
  0.6600,   1.5864 
  0.7000,   1.2952 
  0.7400,   1.2512 
  0.7800,   0.9416 
  0.8200,   0.8189 
  0.8600,   0.6870 
  0.9000,   0.5587 
  0.9400,   0.4158 
  0.9800,   0.2931 
