mbin, hist 
  0.0200,   0.3971 
  0.0600,   1.0503 
  0.1000,   1.6807 
  0.1400,   2.1110 
  0.1800,   2.3049 
  0.2200,   2.3951 
  0.2600,   2.3090 
  0.3000,   2.1006 
  0.3400,   1.8207 
  0.3800,   1.4630 
  0.4200,   1.2266 
  0.4600,   1.0088 
  0.5000,   0.8419 
  0.5400,   0.6843 
  0.5800,   0.5941 
  0.6200,   0.5049 
  0.6600,   0.4572 
  0.7000,   0.3691 
  0.7400,   0.3380 
  0.7800,   0.3287 
  0.8200,   0.2976 
  0.8600,   0.2260 
  0.9000,   0.2240 
  0.9400,   0.1503 
  0.9800,   0.1161 
