mbin,histogram
0.0200,0.5471
0.0600,1.5580
0.1000,2.3749
0.1400,2.7343
0.1800,2.9177
0.2200,2.7101
0.2600,2.2547
0.3000,1.8236
0.3400,1.4041
0.3800,1.0172
0.4200,0.8770
0.4600,0.7041
0.5000,0.5703
0.5400,0.5228
0.5800,0.4301
0.6200,0.4459
0.6600,0.3436
0.7000,0.2930
0.7400,0.2962
0.7800,0.2635
0.8200,0.2203
0.8600,0.2182
0.9000,0.1950
0.9400,0.1687
0.9800,0.1096
