p2dbin,hist
3.5125,0.0000
3.5375,0.0000
3.5625,0.0000
3.5875,0.0000
3.6125,0.0000
3.6375,0.0033
3.6625,0.0784
3.6875,0.2753
3.7125,0.8242
3.7375,1.6067
3.7625,2.4058
3.7875,3.1700
3.8125,3.2934
3.8375,3.2067
3.8625,2.9147
3.8875,2.4359
3.9125,2.0455
3.9375,1.6434
3.9625,1.3447
3.9875,1.1429
4.0125,1.0327
4.0375,0.9076
4.0625,0.8409
4.0875,0.7024
4.1125,0.6707
4.1375,0.5656
4.1625,0.5039
4.1875,0.4672
4.2125,0.4855
4.2375,0.3937
4.2625,0.3404
4.2875,0.3937
4.3125,0.3270
4.3375,0.2803
4.3625,0.2619
4.3875,0.2269
4.4125,0.2002
4.4375,0.2286
4.4625,0.2086
4.4875,0.2119
4.5125,0.2236
4.5375,0.2202
4.5625,0.2169
4.5875,0.1819
4.6125,0.1668
4.6375,0.1351
4.6625,0.1635
4.6875,0.1151
4.7125,0.1485
4.7375,0.1301
4.7625,0.1251
4.7875,0.1051
4.8125,0.1101
4.8375,0.1268
4.8625,0.0784
4.8875,0.1251
4.9125,0.0934
4.9375,0.0851
4.9625,0.0701
4.9875,0.0734
5.0125,0.0667
5.0375,0.0767
5.0625,0.0734
5.0875,0.0534
5.1125,0.0517
5.1375,0.0450
5.1625,0.0567
5.1875,0.0617
5.2125,0.0400
5.2375,0.0551
5.2625,0.0467
5.2875,0.0434
5.3125,0.0551
5.3375,0.0467
5.3625,0.0267
5.3875,0.0384
5.4125,0.0317
5.4375,0.0250
5.4625,0.0300
5.4875,0.0234
5.5125,0.0250
5.5375,0.0317
5.5625,0.0217
5.5875,0.0284
5.6125,0.0117
5.6375,0.0217
5.6625,0.0184
5.6875,0.0200
5.7125,0.0217
5.7375,0.0133
5.7625,0.0150
5.7875,0.0217
5.8125,0.0133
5.8375,0.0200
5.8625,0.0100
5.8875,0.0133
5.9125,0.0117
5.9375,0.0167
5.9625,0.0117
5.9875,0.0100
6.0125,0.0117
6.0375,0.0133
6.0625,0.0150
6.0875,0.0067
6.1125,0.0133
6.1375,0.0083
6.1625,0.0117
6.1875,0.0167
6.2125,0.0133
6.2375,0.0050
6.2625,0.0050
6.2875,0.0083
6.3125,0.0117
6.3375,0.0033
6.3625,0.0083
6.3875,0.0067
6.4125,0.0067
6.4375,0.0050
6.4625,0.0033
6.4875,0.0083
6.5125,0.0050
6.5375,0.0050
6.5625,0.0033
6.5875,0.0050
6.6125,0.0017
6.6375,0.0067
6.6625,0.0033
6.6875,0.0100
6.7125,0.0017
6.7375,0.0017
6.7625,0.0033
6.7875,0.0017
6.8125,0.0033
6.8375,0.0033
6.8625,0.0067
6.8875,0.0017
6.9125,0.0033
6.9375,0.0067
6.9625,0.0000
6.9875,0.0000
7.0125,0.0033
7.0375,0.0017
7.0625,0.0017
7.0875,0.0033
7.1125,0.0050
7.1375,0.0000
7.1625,0.0017
7.1875,0.0000
7.2125,0.0033
7.2375,0.0033
7.2625,0.0000
7.2875,0.0033
7.3125,0.0000
7.3375,0.0033
7.3625,0.0033
7.3875,0.0050
7.4125,0.0017
7.4375,0.0000
7.4625,0.0033
7.4875,0.0017
7.5125,0.0000
7.5375,0.0017
7.5625,0.0017
7.5875,0.0017
