p2dbin,hist
3.5125,0.0000
3.5375,0.0000
3.5625,0.0000
3.5875,0.0000
3.6125,0.0000
3.6375,0.0000
3.6625,0.0056
3.6875,0.0470
3.7125,0.1109
3.7375,0.2236
3.7625,0.4641
3.7875,0.6256
3.8125,0.9883
3.8375,1.2175
3.8625,1.5651
3.8875,1.8488
3.9125,1.9991
3.9375,2.0986
3.9625,2.1155
3.9875,2.1174
4.0125,2.0667
4.0375,1.8976
4.0625,1.6834
4.0875,1.5312
4.1125,1.4861
4.1375,1.3264
4.1625,1.0747
4.1875,0.9281
4.2125,0.8079
4.2375,0.7309
4.2625,0.6914
4.2875,0.6689
4.3125,0.6163
4.3375,0.5167
4.3625,0.4960
4.3875,0.4603
4.4125,0.3946
4.4375,0.4021
4.4625,0.3419
4.4875,0.3119
4.5125,0.3720
4.5375,0.3006
4.5625,0.2762
4.5875,0.2724
4.6125,0.2593
4.6375,0.2179
4.6625,0.2255
4.6875,0.1935
4.7125,0.2067
4.7375,0.1992
4.7625,0.1973
4.7875,0.1315
4.8125,0.1860
4.8375,0.1390
4.8625,0.1240
4.8875,0.1296
4.9125,0.1296
4.9375,0.1240
4.9625,0.1052
4.9875,0.0939
5.0125,0.0864
5.0375,0.0921
5.0625,0.0883
5.0875,0.0639
5.1125,0.0902
5.1375,0.0770
5.1625,0.0451
5.1875,0.0658
5.2125,0.0582
5.2375,0.0526
5.2625,0.0639
5.2875,0.0545
5.3125,0.0695
5.3375,0.0545
5.3625,0.0488
5.3875,0.0376
5.4125,0.0395
5.4375,0.0601
5.4625,0.0526
5.4875,0.0376
5.5125,0.0413
5.5375,0.0301
5.5625,0.0376
5.5875,0.0357
5.6125,0.0451
5.6375,0.0395
5.6625,0.0319
5.6875,0.0338
5.7125,0.0244
5.7375,0.0225
5.7625,0.0301
5.7875,0.0263
5.8125,0.0188
5.8375,0.0150
5.8625,0.0207
5.8875,0.0075
5.9125,0.0263
5.9375,0.0207
5.9625,0.0113
5.9875,0.0094
6.0125,0.0113
6.0375,0.0094
6.0625,0.0150
6.0875,0.0132
6.1125,0.0263
6.1375,0.0169
6.1625,0.0075
6.1875,0.0150
6.2125,0.0150
6.2375,0.0169
6.2625,0.0132
6.2875,0.0094
6.3125,0.0094
6.3375,0.0150
6.3625,0.0056
6.3875,0.0113
6.4125,0.0113
6.4375,0.0113
6.4625,0.0056
6.4875,0.0038
6.5125,0.0056
6.5375,0.0056
6.5625,0.0019
6.5875,0.0038
6.6125,0.0019
6.6375,0.0038
6.6625,0.0094
6.6875,0.0056
6.7125,0.0056
6.7375,0.0038
6.7625,0.0132
6.7875,0.0038
6.8125,0.0075
6.8375,0.0038
6.8625,0.0019
6.8875,0.0113
6.9125,0.0038
6.9375,0.0038
6.9625,0.0075
6.9875,0.0056
7.0125,0.0038
7.0375,0.0019
7.0625,0.0132
7.0875,0.0000
7.1125,0.0056
7.1375,0.0038
7.1625,0.0000
7.1875,0.0000
7.2125,0.0000
7.2375,0.0019
7.2625,0.0019
7.2875,0.0019
7.3125,0.0019
7.3375,0.0019
7.3625,0.0038
7.3875,0.0038
7.4125,0.0000
7.4375,0.0000
7.4625,0.0038
7.4875,0.0000
7.5125,0.0038
7.5375,0.0038
7.5625,0.0000
7.5875,0.0056
