p2dbin,hist
3.5125,0.0000
3.5375,0.0000
3.5625,0.0000
3.5875,0.0000
3.6125,0.0000
3.6375,0.0170
3.6625,0.1091
3.6875,0.6511
3.7125,1.7589
3.7375,3.1514
3.7625,4.0632
3.7875,4.2200
3.8125,3.6320
3.8375,3.1497
3.8625,2.3572
3.8875,1.7487
3.9125,1.3294
3.9375,0.9817
3.9625,0.9391
3.9875,0.7380
4.0125,0.7363
4.0375,0.6511
4.0625,0.5846
4.0875,0.5301
4.1125,0.5232
4.1375,0.4261
4.1625,0.3869
4.1875,0.3528
4.2125,0.3443
4.2375,0.3375
4.2625,0.3017
4.2875,0.2761
4.3125,0.2335
4.3375,0.2113
4.3625,0.2216
4.3875,0.2250
4.4125,0.2045
4.4375,0.2148
4.4625,0.2028
4.4875,0.2148
4.5125,0.1858
4.5375,0.1653
4.5625,0.1807
4.5875,0.1841
4.6125,0.1892
4.6375,0.1551
4.6625,0.1687
4.6875,0.1534
4.7125,0.1398
4.7375,0.1227
4.7625,0.0954
4.7875,0.0903
4.8125,0.0971
4.8375,0.1261
4.8625,0.0886
4.8875,0.0869
4.9125,0.0767
4.9375,0.0767
4.9625,0.0801
4.9875,0.0614
5.0125,0.0597
5.0375,0.0631
5.0625,0.0579
5.0875,0.0631
5.1125,0.0614
5.1375,0.0528
5.1625,0.0545
5.1875,0.0443
5.2125,0.0494
5.2375,0.0358
5.2625,0.0375
5.2875,0.0324
5.3125,0.0222
5.3375,0.0256
5.3625,0.0307
5.3875,0.0324
5.4125,0.0222
5.4375,0.0392
5.4625,0.0256
5.4875,0.0153
5.5125,0.0222
5.5375,0.0187
5.5625,0.0239
5.5875,0.0222
5.6125,0.0187
5.6375,0.0256
5.6625,0.0068
5.6875,0.0222
5.7125,0.0068
5.7375,0.0205
5.7625,0.0153
5.7875,0.0085
5.8125,0.0136
5.8375,0.0170
5.8625,0.0136
5.8875,0.0051
5.9125,0.0153
5.9375,0.0068
5.9625,0.0068
5.9875,0.0136
6.0125,0.0085
6.0375,0.0119
6.0625,0.0085
6.0875,0.0085
6.1125,0.0051
6.1375,0.0051
6.1625,0.0085
6.1875,0.0051
6.2125,0.0085
6.2375,0.0102
6.2625,0.0017
6.2875,0.0034
6.3125,0.0034
6.3375,0.0068
6.3625,0.0017
6.3875,0.0051
6.4125,0.0068
6.4375,0.0068
6.4625,0.0068
6.4875,0.0017
6.5125,0.0017
6.5375,0.0034
6.5625,0.0051
6.5875,0.0000
6.6125,0.0051
6.6375,0.0017
6.6625,0.0034
6.6875,0.0034
6.7125,0.0051
6.7375,0.0102
6.7625,0.0034
6.7875,0.0017
6.8125,0.0017
6.8375,0.0034
6.8625,0.0034
6.8875,0.0017
6.9125,0.0017
6.9375,0.0000
6.9625,0.0034
6.9875,0.0034
7.0125,0.0017
7.0375,0.0034
7.0625,0.0017
7.0875,0.0017
7.1125,0.0051
7.1375,0.0068
7.1625,0.0017
7.1875,0.0034
7.2125,0.0085
7.2375,0.0000
7.2625,0.0034
7.2875,0.0017
7.3125,0.0034
7.3375,0.0000
7.3625,0.0000
7.3875,0.0000
7.4125,0.0017
7.4375,0.0000
7.4625,0.0068
7.4875,0.0034
7.5125,0.0034
7.5375,0.0034
7.5625,0.0034
7.5875,0.0017
