p2dbin,hist
3.5125,0.0000
3.5375,0.0000
3.5625,0.0000
3.5875,0.0000
3.6125,0.0000
3.6375,0.0000
3.6625,0.0066
3.6875,0.0382
3.7125,0.1627
3.7375,0.3685
3.7625,0.6258
3.7875,1.0225
3.8125,1.5105
3.8375,1.8292
3.8625,1.9919
3.8875,2.2740
3.9125,2.3272
3.9375,2.4035
3.9625,2.1230
3.9875,1.9305
4.0125,1.8591
4.0375,1.6798
4.0625,1.4972
4.0875,1.2831
4.1125,1.1619
4.1375,0.9694
4.1625,0.9810
4.1875,0.8001
4.2125,0.7121
4.2375,0.5893
4.2625,0.5826
4.2875,0.5511
4.3125,0.4814
4.3375,0.4548
4.3625,0.4449
4.3875,0.3585
4.4125,0.3536
4.4375,0.3569
4.4625,0.3386
4.4875,0.2988
4.5125,0.3038
4.5375,0.2838
4.5625,0.2789
4.5875,0.2805
4.6125,0.2506
4.6375,0.2639
4.6625,0.2125
4.6875,0.1593
4.7125,0.2075
4.7375,0.1494
4.7625,0.1676
4.7875,0.1527
4.8125,0.1394
4.8375,0.1411
4.8625,0.1195
4.8875,0.1029
4.9125,0.1361
4.9375,0.0896
4.9625,0.1129
4.9875,0.0863
5.0125,0.0780
5.0375,0.0681
5.0625,0.0664
5.0875,0.0664
5.1125,0.0664
5.1375,0.0614
5.1625,0.0647
5.1875,0.0432
5.2125,0.0564
5.2375,0.0564
5.2625,0.0481
5.2875,0.0398
5.3125,0.0564
5.3375,0.0498
5.3625,0.0448
5.3875,0.0581
5.4125,0.0448
5.4375,0.0398
5.4625,0.0299
5.4875,0.0282
5.5125,0.0365
5.5375,0.0332
5.5625,0.0249
5.5875,0.0266
5.6125,0.0315
5.6375,0.0299
5.6625,0.0315
5.6875,0.0183
5.7125,0.0116
5.7375,0.0199
5.7625,0.0266
5.7875,0.0249
5.8125,0.0149
5.8375,0.0066
5.8625,0.0199
5.8875,0.0232
5.9125,0.0266
5.9375,0.0183
5.9625,0.0183
5.9875,0.0183
6.0125,0.0149
6.0375,0.0133
6.0625,0.0133
6.0875,0.0100
6.1125,0.0100
6.1375,0.0100
6.1625,0.0183
6.1875,0.0083
6.2125,0.0133
6.2375,0.0050
6.2625,0.0116
6.2875,0.0133
6.3125,0.0116
6.3375,0.0066
6.3625,0.0100
6.3875,0.0133
6.4125,0.0083
6.4375,0.0100
6.4625,0.0100
6.4875,0.0033
6.5125,0.0116
6.5375,0.0050
6.5625,0.0033
6.5875,0.0033
6.6125,0.0033
6.6375,0.0000
6.6625,0.0033
6.6875,0.0033
6.7125,0.0050
6.7375,0.0033
6.7625,0.0133
6.7875,0.0050
6.8125,0.0050
6.8375,0.0050
6.8625,0.0000
6.8875,0.0100
6.9125,0.0066
6.9375,0.0066
6.9625,0.0017
6.9875,0.0017
7.0125,0.0050
7.0375,0.0017
7.0625,0.0100
7.0875,0.0033
7.1125,0.0017
7.1375,0.0050
7.1625,0.0066
7.1875,0.0017
7.2125,0.0017
7.2375,0.0017
7.2625,0.0017
7.2875,0.0033
7.3125,0.0017
7.3375,0.0033
7.3625,0.0033
7.3875,0.0050
7.4125,0.0000
7.4375,0.0000
7.4625,0.0033
7.4875,0.0033
7.5125,0.0033
7.5375,0.0000
7.5625,0.0000
7.5875,0.0017
