p2dbin,hist
3.5125,0.0000
3.5375,0.0000
3.5625,0.0000
3.5875,0.0000
3.6125,0.0000
3.6375,0.0000
3.6625,0.0000
3.6875,0.0059
3.7125,0.0147
3.7375,0.0616
3.7625,0.1026
3.7875,0.1495
3.8125,0.2403
3.8375,0.3752
3.8625,0.5217
3.8875,0.5540
3.9125,0.7240
3.9375,0.8881
3.9625,0.9145
3.9875,1.0757
4.0125,1.0728
4.0375,1.3072
4.0625,1.1695
4.0875,1.3336
4.1125,1.3512
4.1375,1.4391
4.1625,1.3922
4.1875,1.3835
4.2125,1.3541
4.2375,1.2750
4.2625,1.1666
4.2875,1.1783
4.3125,1.0728
4.3375,1.0757
4.3625,1.0552
4.3875,1.0083
4.4125,0.8236
4.4375,0.8705
4.4625,0.8705
4.4875,0.7885
4.5125,0.7562
4.5375,0.7035
4.5625,0.6155
4.5875,0.5833
4.6125,0.5481
4.6375,0.5129
4.6625,0.3693
4.6875,0.4191
4.7125,0.3459
4.7375,0.3166
4.7625,0.2960
4.7875,0.2374
4.8125,0.2843
4.8375,0.2316
4.8625,0.2257
4.8875,0.2872
4.9125,0.1905
4.9375,0.1817
4.9625,0.2081
4.9875,0.2022
5.0125,0.1700
5.0375,0.1524
5.0625,0.1495
5.0875,0.1231
5.1125,0.1553
5.1375,0.1231
5.1625,0.1290
5.1875,0.0909
5.2125,0.0821
5.2375,0.0791
5.2625,0.1202
5.2875,0.0997
5.3125,0.0909
5.3375,0.0762
5.3625,0.0938
5.3875,0.0938
5.4125,0.0791
5.4375,0.0645
5.4625,0.0791
5.4875,0.0557
5.5125,0.0498
5.5375,0.0674
5.5625,0.0469
5.5875,0.0410
5.6125,0.0322
5.6375,0.0410
5.6625,0.0469
5.6875,0.0616
5.7125,0.0440
5.7375,0.0322
5.7625,0.0352
5.7875,0.0645
5.8125,0.0322
5.8375,0.0410
5.8625,0.0469
5.8875,0.0205
5.9125,0.0293
5.9375,0.0264
5.9625,0.0586
5.9875,0.0352
6.0125,0.0410
6.0375,0.0293
6.0625,0.0147
6.0875,0.0234
6.1125,0.0352
6.1375,0.0381
6.1625,0.0088
6.1875,0.0381
6.2125,0.0264
6.2375,0.0176
6.2625,0.0147
6.2875,0.0059
6.3125,0.0264
6.3375,0.0117
6.3625,0.0117
6.3875,0.0088
6.4125,0.0234
6.4375,0.0117
6.4625,0.0000
6.4875,0.0029
6.5125,0.0059
6.5375,0.0234
6.5625,0.0234
6.5875,0.0117
6.6125,0.0117
6.6375,0.0234
6.6625,0.0147
6.6875,0.0147
6.7125,0.0147
6.7375,0.0088
6.7625,0.0088
6.7875,0.0029
6.8125,0.0117
6.8375,0.0117
6.8625,0.0088
6.8875,0.0088
6.9125,0.0059
6.9375,0.0088
6.9625,0.0029
6.9875,0.0059
7.0125,0.0059
7.0375,0.0059
7.0625,0.0117
7.0875,0.0029
7.1125,0.0117
7.1375,0.0000
7.1625,0.0117
7.1875,0.0059
7.2125,0.0117
7.2375,0.0147
7.2625,0.0029
7.2875,0.0059
7.3125,0.0029
7.3375,0.0000
7.3625,0.0059
7.3875,0.0029
7.4125,0.0029
7.4375,0.0029
7.4625,0.0029
7.4875,0.0029
7.5125,0.0088
7.5375,0.0059
7.5625,0.0088
7.5875,0.0059
