p2dbin,hist
3.5125,0.0000
3.5375,0.0000
3.5625,0.0000
3.5875,0.0000
3.6125,0.0000
3.6375,0.0116
3.6625,0.1848
3.6875,1.0698
3.7125,2.6386
3.7375,4.6627
3.7625,4.9700
3.7875,4.0434
3.8125,3.0638
3.8375,2.4515
3.8625,1.9570
3.8875,1.4117
3.9125,1.0860
3.9375,0.8641
3.9625,0.6701
3.9875,0.5776
4.0125,0.5384
4.0375,0.5869
4.0625,0.5176
4.0875,0.5106
4.1125,0.4482
4.1375,0.3882
4.1625,0.3558
4.1875,0.3373
4.2125,0.2957
4.2375,0.3004
4.2625,0.2542
4.2875,0.2588
4.3125,0.2195
4.3375,0.2357
4.3625,0.1918
4.3875,0.1617
4.4125,0.1964
4.4375,0.1640
4.4625,0.1617
4.4875,0.2195
4.5125,0.1918
4.5375,0.1987
4.5625,0.1687
4.5875,0.1386
4.6125,0.1918
4.6375,0.1664
4.6625,0.1756
4.6875,0.1594
4.7125,0.1664
4.7375,0.1294
4.7625,0.1155
4.7875,0.1132
4.8125,0.1086
4.8375,0.1386
4.8625,0.0809
4.8875,0.0716
4.9125,0.1132
4.9375,0.0716
4.9625,0.0439
4.9875,0.0439
5.0125,0.0762
5.0375,0.0693
5.0625,0.0508
5.0875,0.0716
5.1125,0.0508
5.1375,0.0531
5.1625,0.0508
5.1875,0.0416
5.2125,0.0347
5.2375,0.0393
5.2625,0.0485
5.2875,0.0485
5.3125,0.0300
5.3375,0.0208
5.3625,0.0370
5.3875,0.0185
5.4125,0.0416
5.4375,0.0116
5.4625,0.0162
5.4875,0.0116
5.5125,0.0323
5.5375,0.0208
5.5625,0.0231
5.5875,0.0185
5.6125,0.0162
5.6375,0.0092
5.6625,0.0162
5.6875,0.0162
5.7125,0.0162
5.7375,0.0208
5.7625,0.0046
5.7875,0.0092
5.8125,0.0069
5.8375,0.0092
5.8625,0.0139
5.8875,0.0046
5.9125,0.0069
5.9375,0.0116
5.9625,0.0162
5.9875,0.0116
6.0125,0.0139
6.0375,0.0046
6.0625,0.0116
6.0875,0.0069
6.1125,0.0116
6.1375,0.0092
6.1625,0.0116
6.1875,0.0069
6.2125,0.0046
6.2375,0.0208
6.2625,0.0139
6.2875,0.0069
6.3125,0.0069
6.3375,0.0000
6.3625,0.0069
6.3875,0.0046
6.4125,0.0000
6.4375,0.0046
6.4625,0.0069
6.4875,0.0023
6.5125,0.0000
6.5375,0.0046
6.5625,0.0000
6.5875,0.0046
6.6125,0.0023
6.6375,0.0046
6.6625,0.0000
6.6875,0.0046
6.7125,0.0069
6.7375,0.0046
6.7625,0.0069
6.7875,0.0046
6.8125,0.0023
6.8375,0.0000
6.8625,0.0069
6.8875,0.0023
6.9125,0.0023
6.9375,0.0000
6.9625,0.0023
6.9875,0.0046
7.0125,0.0000
7.0375,0.0046
7.0625,0.0023
7.0875,0.0023
7.1125,0.0000
7.1375,0.0000
7.1625,0.0000
7.1875,0.0000
7.2125,0.0023
7.2375,0.0023
7.2625,0.0046
7.2875,0.0000
7.3125,0.0000
7.3375,0.0023
7.3625,0.0000
7.3875,0.0023
7.4125,0.0000
7.4375,0.0000
7.4625,0.0000
7.4875,0.0000
7.5125,0.0000
7.5375,0.0000
7.5625,0.0023
7.5875,0.0023
