p2dbin,hist
3.5125,0.0000
3.5375,0.0000
3.5625,0.0000
3.5875,0.0000
3.6125,0.0000
3.6375,0.0000
3.6625,0.0315
3.6875,0.1758
3.7125,0.5524
3.7375,1.1928
3.7625,1.8646
3.7875,2.6941
3.8125,2.9064
3.8375,3.0806
3.8625,2.9910
3.8875,2.7123
3.9125,2.2462
3.9375,1.8928
3.9625,1.5793
3.9875,1.3819
4.0125,1.1778
4.0375,0.9672
4.0625,0.9555
4.0875,0.7930
4.1125,0.7482
4.1375,0.6221
4.1625,0.6005
4.1875,0.5192
4.2125,0.4545
4.2375,0.4131
4.2625,0.4064
4.2875,0.3799
4.3125,0.3666
4.3375,0.3052
4.3625,0.3152
4.3875,0.2389
4.4125,0.2356
4.4375,0.2704
4.4625,0.2173
4.4875,0.2057
4.5125,0.2273
4.5375,0.2405
4.5625,0.2107
4.5875,0.1891
4.6125,0.1676
4.6375,0.1758
4.6625,0.1593
4.6875,0.1875
4.7125,0.1559
4.7375,0.1277
4.7625,0.1194
4.7875,0.1261
4.8125,0.0912
4.8375,0.1393
4.8625,0.0995
4.8875,0.1244
4.9125,0.1029
4.9375,0.0879
4.9625,0.0780
4.9875,0.0829
5.0125,0.0564
5.0375,0.0664
5.0625,0.0730
5.0875,0.0697
5.1125,0.0630
5.1375,0.0481
5.1625,0.0630
5.1875,0.0581
5.2125,0.0514
5.2375,0.0448
5.2625,0.0216
5.2875,0.0382
5.3125,0.0348
5.3375,0.0398
5.3625,0.0299
5.3875,0.0265
5.4125,0.0282
5.4375,0.0265
5.4625,0.0199
5.4875,0.0315
5.5125,0.0232
5.5375,0.0332
5.5625,0.0249
5.5875,0.0249
5.6125,0.0166
5.6375,0.0265
5.6625,0.0066
5.6875,0.0182
5.7125,0.0232
5.7375,0.0133
5.7625,0.0249
5.7875,0.0199
5.8125,0.0133
5.8375,0.0166
5.8625,0.0149
5.8875,0.0199
5.9125,0.0050
5.9375,0.0066
5.9625,0.0166
5.9875,0.0182
6.0125,0.0133
6.0375,0.0133
6.0625,0.0199
6.0875,0.0050
6.1125,0.0116
6.1375,0.0083
6.1625,0.0100
6.1875,0.0100
6.2125,0.0116
6.2375,0.0133
6.2625,0.0083
6.2875,0.0033
6.3125,0.0100
6.3375,0.0066
6.3625,0.0050
6.3875,0.0050
6.4125,0.0033
6.4375,0.0017
6.4625,0.0050
6.4875,0.0100
6.5125,0.0033
6.5375,0.0066
6.5625,0.0116
6.5875,0.0000
6.6125,0.0033
6.6375,0.0033
6.6625,0.0066
6.6875,0.0066
6.7125,0.0100
6.7375,0.0033
6.7625,0.0050
6.7875,0.0033
6.8125,0.0083
6.8375,0.0033
6.8625,0.0000
6.8875,0.0050
6.9125,0.0017
6.9375,0.0000
6.9625,0.0050
6.9875,0.0017
7.0125,0.0033
7.0375,0.0000
7.0625,0.0017
7.0875,0.0017
7.1125,0.0017
7.1375,0.0000
7.1625,0.0050
7.1875,0.0033
7.2125,0.0000
7.2375,0.0033
7.2625,0.0033
7.2875,0.0083
7.3125,0.0000
7.3375,0.0000
7.3625,0.0017
7.3875,0.0017
7.4125,0.0000
7.4375,0.0000
7.4625,0.0017
7.4875,0.0050
7.5125,0.0033
7.5375,0.0000
7.5625,0.0000
7.5875,0.0000
