p2dbin, hist 
  3.5083,   0.0000 
  3.5250,   0.0000 
  3.5417,   0.0000 
  3.5583,   0.0000 
  3.5750,   0.0000 
  3.5917,   0.0000 
  3.6083,   0.0000 
  3.6250,   0.0000 
  3.6417,   0.0000 
  3.6583,   0.0000 
  3.6750,   0.0000 
  3.6917,   0.0000 
  3.7083,   0.0815 
  3.7250,   0.0247 
  3.7417,   0.0963 
  3.7583,   0.2173 
  3.7750,   0.3235 
  3.7917,   0.5162 
  3.8083,   0.6273 
  3.8250,   0.8150 
  3.8417,   0.8249 
  3.8583,   1.0941 
  3.8750,   1.6645 
  3.8917,   2.0251 
  3.9083,   2.2326 
  3.9250,   1.8893 
  3.9417,   2.2400 
  3.9583,   2.0622 
  3.9750,   2.2054 
  3.9917,   2.1782 
  4.0083,   2.0671 
  4.0250,   1.5633 
  4.0417,   1.6374 
  4.0583,   1.4447 
  4.0750,   1.5287 
  4.0917,   1.2990 
  4.1083,   1.1459 
  4.1250,   1.3361 
  4.1417,   1.2422 
  4.1583,   1.1583 
  4.1750,   1.2200 
  4.1917,   0.9829 
  4.2083,   0.9014 
  4.2250,   0.7384 
  4.2417,   0.7903 
  4.2583,   0.7656 
  4.2750,   0.6594 
  4.2917,   0.6125 
  4.3083,   0.6001 
  4.3250,   0.5927 
  4.3417,   0.4396 
  4.3583,   0.5483 
  4.3750,   0.5433 
  4.3917,   0.5804 
  4.4083,   0.5334 
  4.4250,   0.5063 
  4.4417,   0.5310 
  4.4583,   0.5038 
  4.4750,   0.4297 
  4.4917,   0.4569 
  4.5083,   0.3383 
  4.5250,   0.3779 
  4.5417,   0.4026 
  4.5583,   0.3532 
  4.5750,   0.3853 
  4.5917,   0.3433 
  4.6083,   0.2939 
  4.6250,   0.2766 
  4.6417,   0.2544 
  4.6583,   0.2889 
  4.6750,   0.2568 
  4.6917,   0.2741 
  4.7083,   0.2124 
  4.7250,   0.2692 
  4.7417,   0.3013 
  4.7583,   0.2124 
  4.7750,   0.2346 
  4.7917,   0.1926 
  4.8083,   0.2321 
  4.8250,   0.2099 
  4.8417,   0.1605 
  4.8583,   0.1383 
  4.8750,   0.1679 
  4.8917,   0.1408 
  4.9083,   0.1506 
  4.9250,   0.1655 
  4.9417,   0.1729 
  4.9583,   0.1605 
