p2dbin, hist 
  3.5083,   0.0000 
  3.5250,   0.0000 
  3.5417,   0.0000 
  3.5583,   0.0000 
  3.5750,   0.0000 
  3.5917,   0.0000 
  3.6083,   0.0000 
  3.6250,   0.0000 
  3.6417,   0.0000 
  3.6583,   0.0000 
  3.6750,   0.0000 
  3.6917,   0.0000 
  3.7083,   0.0178 
  3.7250,   0.0267 
  3.7417,   0.0534 
  3.7583,   0.0889 
  3.7750,   0.0800 
  3.7917,   0.2312 
  3.8083,   0.2046 
  3.8250,   0.4803 
  3.8417,   0.5070 
  3.8583,   0.4447 
  3.8750,   0.6849 
  3.8917,   0.7649 
  3.9083,   0.7204 
  3.9250,   0.8538 
  3.9417,   0.8983 
  3.9583,   0.9517 
  3.9750,   1.1918 
  3.9917,   1.2363 
  4.0083,   1.2630 
  4.0250,   1.4320 
  4.0417,   1.5298 
  4.0583,   1.4675 
  4.0750,   1.4053 
  4.0917,   1.4409 
  4.1083,   1.7610 
  4.1250,   1.4942 
  4.1417,   1.5565 
  4.1583,   1.5743 
  4.1750,   1.2007 
  4.1917,   1.5298 
  4.2083,   1.3519 
  4.2250,   1.2541 
  4.2417,   1.2808 
  4.2583,   1.2541 
  4.2750,   1.2452 
  4.2917,   1.2452 
  4.3083,   0.9161 
  4.3250,   1.0406 
  4.3417,   1.0406 
  4.3583,   0.9873 
  4.3750,   0.9606 
  4.3917,   0.9161 
  4.4083,   0.8805 
  4.4250,   0.7471 
  4.4417,   0.7649 
  4.4583,   0.7026 
  4.4750,   0.6937 
  4.4917,   0.5159 
  4.5083,   0.6226 
  4.5250,   0.6582 
  4.5417,   0.6226 
  4.5583,   0.5248 
  4.5750,   0.5781 
  4.5917,   0.3647 
  4.6083,   0.4536 
  4.6250,   0.5070 
  4.6417,   0.3469 
  4.6583,   0.3647 
  4.6750,   0.3380 
  4.6917,   0.2668 
  4.7083,   0.2668 
  4.7250,   0.3024 
  4.7417,   0.3024 
  4.7583,   0.3380 
  4.7750,   0.2224 
  4.7917,   0.2846 
  4.8083,   0.2224 
  4.8250,   0.2490 
  4.8417,   0.2224 
  4.8583,   0.1690 
  4.8750,   0.2224 
  4.8917,   0.1957 
  4.9083,   0.2224 
  4.9250,   0.1334 
  4.9417,   0.1868 
  4.9583,   0.1334 
