p2dbin, hist 
  3.5083,   0.0000 
  3.5250,   0.0000 
  3.5417,   0.0000 
  3.5583,   0.0000 
  3.5750,   0.0000 
  3.5917,   0.0000 
  3.6083,   0.0000 
  3.6250,   0.0025 
  3.6417,   0.0025 
  3.6583,   0.0501 
  3.6750,   0.1702 
  3.6917,   0.3103 
  3.7083,   0.7358 
  3.7250,   1.1462 
  3.7417,   1.7643 
  3.7583,   2.2899 
  3.7750,   2.7804 
  3.7917,   3.2934 
  3.8083,   3.2684 
  3.8250,   3.2008 
  3.8417,   3.2809 
  3.8583,   2.9856 
  3.8750,   2.7629 
  3.8917,   2.2774 
  3.9083,   2.1447 
  3.9250,   1.7743 
  3.9417,   1.6142 
  3.9583,   1.3889 
  3.9750,   1.2388 
  3.9917,   1.1036 
  4.0083,   1.0961 
  4.0250,   0.8984 
  4.0417,   0.9160 
  4.0583,   0.8609 
  4.0750,   0.7708 
  4.0917,   0.6832 
  4.1083,   0.7057 
  4.1250,   0.5806 
  4.1417,   0.5681 
  4.1583,   0.4755 
  4.1750,   0.5431 
  4.1917,   0.4380 
  4.2083,   0.5255 
  4.2250,   0.4204 
  4.2417,   0.3729 
  4.2583,   0.3303 
  4.2750,   0.3829 
  4.2917,   0.3879 
  4.3083,   0.3128 
  4.3250,   0.3128 
  4.3417,   0.2853 
  4.3583,   0.2953 
  4.3750,   0.2227 
  4.3917,   0.2152 
  4.4083,   0.2102 
  4.4250,   0.1977 
  4.4417,   0.2352 
  4.4583,   0.2302 
  4.4750,   0.1902 
  4.4917,   0.2102 
  4.5083,   0.2478 
  4.5250,   0.1952 
  4.5417,   0.2227 
  4.5583,   0.1952 
  4.5750,   0.2077 
  4.5917,   0.1952 
  4.6083,   0.1627 
  4.6250,   0.1552 
  4.6417,   0.1351 
  4.6583,   0.1752 
  4.6750,   0.1426 
  4.6917,   0.1001 
  4.7083,   0.1401 
  4.7250,   0.1602 
  4.7417,   0.1176 
  4.7583,   0.1401 
  4.7750,   0.1276 
  4.7917,   0.0776 
  4.8083,   0.1026 
  4.8250,   0.1351 
  4.8417,   0.1176 
  4.8583,   0.0826 
  4.8750,   0.0826 
  4.8917,   0.1401 
  4.9083,   0.0926 
  4.9250,   0.1051 
  4.9417,   0.0701 
  4.9583,   0.0776 
