p2dbin, hist 
  3.5083,   0.0000 
  3.5250,   0.0000 
  3.5417,   0.0000 
  3.5583,   0.0000 
  3.5750,   0.0000 
  3.5917,   0.0000 
  3.6083,   0.0000 
  3.6250,   0.0000 
  3.6417,   0.0000 
  3.6583,   0.0072 
  3.6750,   0.0253 
  3.6917,   0.0398 
  3.7083,   0.0578 
  3.7250,   0.0903 
  3.7417,   0.1518 
  3.7583,   0.2710 
  3.7750,   0.3758 
  3.7917,   0.4445 
  3.8083,   0.7553 
  3.8250,   0.8962 
  3.8417,   0.9685 
  3.8583,   1.0697 
  3.8750,   1.3082 
  3.8917,   1.4022 
  3.9083,   1.3516 
  3.9250,   1.6913 
  3.9417,   1.7166 
  3.9583,   1.8539 
  3.9750,   1.8286 
  3.9917,   1.9009 
  4.0083,   2.0165 
  4.0250,   1.8539 
  4.0417,   1.8900 
  4.0583,   1.9984 
  4.0750,   1.6696 
  4.0917,   1.7961 
  4.1083,   1.6190 
  4.1250,   1.5901 
  4.1417,   1.2829 
  4.1583,   1.1709 
  4.1750,   1.2576 
  4.1917,   1.1564 
  4.2083,   1.0480 
  4.2250,   0.9324 
  4.2417,   1.0191 
  4.2583,   0.8818 
  4.2750,   0.8565 
  4.2917,   0.7770 
  4.3083,   0.7408 
  4.3250,   0.7372 
  4.3417,   0.5963 
  4.3583,   0.6613 
  4.3750,   0.5746 
  4.3917,   0.4662 
  4.4083,   0.5385 
  4.4250,   0.5095 
  4.4417,   0.4409 
  4.4583,   0.4373 
  4.4750,   0.3686 
  4.4917,   0.4626 
  4.5083,   0.4156 
  4.5250,   0.3505 
  4.5417,   0.4120 
  4.5583,   0.3216 
  4.5750,   0.3505 
  4.5917,   0.2277 
  4.6083,   0.2494 
  4.6250,   0.2421 
  4.6417,   0.2566 
  4.6583,   0.2674 
  4.6750,   0.2819 
  4.6917,   0.1988 
  4.7083,   0.2819 
  4.7250,   0.2421 
  4.7417,   0.2204 
  4.7583,   0.1373 
  4.7750,   0.1193 
  4.7917,   0.2024 
  4.8083,   0.1626 
  4.8250,   0.1988 
  4.8417,   0.1771 
  4.8583,   0.1590 
  4.8750,   0.1265 
  4.8917,   0.2096 
  4.9083,   0.1301 
  4.9250,   0.1554 
  4.9417,   0.1373 
  4.9583,   0.1229 
