p2dbin, hist 
  3.5250,   0.0000 
  3.5750,   0.0000 
  3.6250,   0.0000 
  3.6750,   0.0029 
  3.7250,   0.0381 
  3.7750,   0.1260 
  3.8250,   0.3078 
  3.8750,   0.5378 
  3.9250,   0.8060 
  3.9750,   0.9951 
  4.0250,   1.1900 
  4.0750,   1.2516 
  4.1250,   1.3952 
  4.1750,   1.3879 
  4.2250,   1.3146 
  4.2750,   1.1724 
  4.3250,   1.0742 
  4.3750,   1.0317 
  4.4250,   0.8471 
  4.4750,   0.8295 
  4.5250,   0.7298 
  4.5750,   0.5994 
  4.6250,   0.5305 
  4.6750,   0.3942 
  4.7250,   0.3312 
  4.7750,   0.2667 
  4.8250,   0.2579 
  4.8750,   0.2565 
  4.9250,   0.1861 
  4.9750,   0.2052 
  5.0250,   0.1612 
  5.0750,   0.1363 
  5.1250,   0.1392 
  5.1750,   0.1099 
  5.2250,   0.0806 
  5.2750,   0.1099 
  5.3250,   0.0835 
  5.3750,   0.0938 
  5.4250,   0.0718 
  5.4750,   0.0674 
  5.5250,   0.0586 
  5.5750,   0.0440 
  5.6250,   0.0366 
  5.6750,   0.0542 
  5.7250,   0.0381 
  5.7750,   0.0498 
  5.8250,   0.0366 
  5.8750,   0.0337 
  5.9250,   0.0278 
  5.9750,   0.0469 
  6.0250,   0.0352 
  6.0750,   0.0191 
  6.1250,   0.0366 
  6.1750,   0.0234 
  6.2250,   0.0220 
  6.2750,   0.0103 
  6.3250,   0.0191 
  6.3750,   0.0103 
  6.4250,   0.0176 
  6.4750,   0.0015 
  6.5250,   0.0147 
  6.5750,   0.0176 
  6.6250,   0.0176 
  6.6750,   0.0147 
  6.7250,   0.0117 
  6.7750,   0.0059 
  6.8250,   0.0117 
  6.8750,   0.0088 
  6.9250,   0.0073 
  6.9750,   0.0044 
  7.0250,   0.0059 
  7.0750,   0.0073 
  7.1250,   0.0059 
  7.1750,   0.0088 
  7.2250,   0.0132 
  7.2750,   0.0044 
  7.3250,   0.0015 
  7.3750,   0.0044 
  7.4250,   0.0029 
  7.4750,   0.0029 
  7.5250,   0.0073 
  7.5750,   0.0073 
  7.6250,   0.0044 
  7.6750,   0.0000 
  7.7250,   0.0015 
  7.7750,   0.0073 
  7.8250,   0.0015 
  7.8750,   0.0000 
  7.9250,   0.0044 
  7.9750,   0.0044 
  8.0250,   0.0000 
  8.0750,   0.0015 
  8.1250,   0.0015 
  8.1750,   0.0015 
  8.2250,   0.0015 
  8.2750,   0.0029 
  8.3250,   0.0000 
  8.3750,   0.0015 
  8.4250,   0.0015 
  8.4750,   0.0015 
  8.5250,   0.0015 
  8.5750,   0.0044 
  8.6250,   0.0000 
  8.6750,   0.0000 
  8.7250,   0.0015 
  8.7750,   0.0000 
  8.8250,   0.0044 
  8.8750,   0.0015 
  8.9250,   0.0000 
  8.9750,   0.0000 
  9.0250,   0.0000 
  9.0750,   0.0000 
  9.1250,   0.0015 
  9.1750,   0.0000 
  9.2250,   0.0044 
  9.2750,   0.0000 
  9.3250,   0.0015 
  9.3750,   0.0000 
  9.4250,   0.0000 
  9.4750,   0.0000 
  9.5250,   0.0000 
  9.5750,   0.0000 
  9.6250,   0.0000 
  9.6750,   0.0000 
  9.7250,   0.0015 
  9.7750,   0.0000 
  9.8250,   0.0000 
  9.8750,   0.0015 
  9.9250,   0.0000 
  9.9750,   0.0000 
 10.0250,   0.0029 
 10.0750,   0.0000 
 10.1250,   0.0000 
 10.1750,   0.0015 
 10.2250,   0.0029 
 10.2750,   0.0015 
 10.3250,   0.0000 
 10.3750,   0.0000 
 10.4250,   0.0000 
 10.4750,   0.0000 
 10.5250,   0.0000 
 10.5750,   0.0000 
 10.6250,   0.0000 
 10.6750,   0.0015 
 10.7250,   0.0000 
 10.7750,   0.0000 
 10.8250,   0.0015 
 10.8750,   0.0000 
 10.9250,   0.0000 
 10.9750,   0.0000 
 11.0250,   0.0000 
 11.0750,   0.0000 
 11.1250,   0.0000 
 11.1750,   0.0000 
 11.2250,   0.0000 
 11.2750,   0.0015 
 11.3250,   0.0000 
 11.3750,   0.0000 
 11.4250,   0.0000 
 11.4750,   0.0000 
 11.5250,   0.0000 
 11.5750,   0.0000 
 11.6250,   0.0000 
 11.6750,   0.0000 
 11.7250,   0.0000 
 11.7750,   0.0000 
 11.8250,   0.0000 
 11.8750,   0.0000 
 11.9250,   0.0000 
 11.9750,   0.0000 
 12.0250,   0.0000 
 12.0750,   0.0000 
 12.1250,   0.0000 
 12.1750,   0.0000 
 12.2250,   0.0000 
 12.2750,   0.0000 
 12.3250,   0.0000 
 12.3750,   0.0000 
 12.4250,   0.0000 
 12.4750,   0.0000 
 12.5250,   0.0000 
 12.5750,   0.0000 
 12.6250,   0.0000 
 12.6750,   0.0000 
 12.7250,   0.0000 
 12.7750,   0.0000 
 12.8250,   0.0000 
 12.8750,   0.0000 
 12.9250,   0.0000 
 12.9750,   0.0000 
 13.0250,   0.0000 
 13.0750,   0.0000 
 13.1250,   0.0000 
 13.1750,   0.0000 
 13.2250,   0.0000 
 13.2750,   0.0000 
 13.3250,   0.0000 
 13.3750,   0.0000 
 13.4250,   0.0000 
 13.4750,   0.0000 
 13.5250,   0.0000 
 13.5750,   0.0000 
 13.6250,   0.0000 
 13.6750,   0.0000 
 13.7250,   0.0000 
 13.7750,   0.0000 
 13.8250,   0.0000 
 13.8750,   0.0000 
 13.9250,   0.0000 
 13.9750,   0.0000 
