p2dbin, hist 
  3.5083,   0.0000 
  3.5250,   0.0000 
  3.5417,   0.0000 
  3.5583,   0.0000 
  3.5750,   0.0000 
  3.5917,   0.0000 
  3.6083,   0.0000 
  3.6250,   0.0000 
  3.6417,   0.0074 
  3.6583,   0.0098 
  3.6750,   0.0566 
  3.6917,   0.1034 
  3.7083,   0.2781 
  3.7250,   0.5907 
  3.7417,   0.9156 
  3.7583,   1.3685 
  3.7750,   1.6442 
  3.7917,   2.2029 
  3.8083,   2.4343 
  3.8250,   2.7173 
  3.8417,   2.8035 
  3.8583,   2.8921 
  3.8750,   2.6976 
  3.8917,   2.8773 
  3.9083,   2.5450 
  3.9250,   2.4663 
  3.9417,   1.9617 
  3.9583,   1.9174 
  3.9750,   1.7402 
  3.9917,   1.4965 
  4.0083,   1.3980 
  4.0250,   1.2159 
  4.0417,   1.1691 
  4.0583,   1.0239 
  4.0750,   1.0411 
  4.0917,   0.8369 
  4.1083,   0.8024 
  4.1250,   0.7655 
  4.1417,   0.7236 
  4.1583,   0.6744 
  4.1750,   0.5760 
  4.1917,   0.5464 
  4.2083,   0.4677 
  4.2250,   0.5267 
  4.2417,   0.4504 
  4.2583,   0.4652 
  4.2750,   0.4381 
  4.2917,   0.4160 
  4.3083,   0.3520 
  4.3250,   0.3914 
  4.3417,   0.3027 
  4.3583,   0.2584 
  4.3750,   0.3495 
  4.3917,   0.3151 
  4.4083,   0.2929 
  4.4250,   0.2880 
  4.4417,   0.2781 
  4.4583,   0.2560 
  4.4750,   0.2264 
  4.4917,   0.2806 
  4.5083,   0.2289 
  4.5250,   0.2584 
  4.5417,   0.2117 
  4.5583,   0.2338 
  4.5750,   0.1821 
  4.5917,   0.2314 
  4.6083,   0.1871 
  4.6250,   0.1920 
  4.6417,   0.1723 
  4.6583,   0.1772 
  4.6750,   0.1797 
  4.6917,   0.1403 
  4.7083,   0.1698 
  4.7250,   0.1649 
  4.7417,   0.1452 
  4.7583,   0.1329 
  4.7750,   0.1526 
  4.7917,   0.1157 
  4.8083,   0.1305 
  4.8250,   0.1575 
  4.8417,   0.1255 
  4.8583,   0.1157 
  4.8750,   0.0886 
  4.8917,   0.1009 
  4.9083,   0.0837 
  4.9250,   0.0960 
  4.9417,   0.1009 
  4.9583,   0.0763 
