p2dbin, hist 
  3.5250,   0.0000 
  3.5750,   0.0000 
  3.6250,   0.0085 
  3.6750,   0.3801 
  3.7250,   2.4552 
  3.7750,   4.1416 
  3.8250,   3.3909 
  3.8750,   2.0529 
  3.9250,   1.1556 
  3.9750,   0.8386 
  4.0250,   0.6937 
  4.0750,   0.5573 
  4.1250,   0.4747 
  4.1750,   0.3698 
  4.2250,   0.3409 
  4.2750,   0.2889 
  4.3250,   0.2224 
  4.3750,   0.2233 
  4.4250,   0.2096 
  4.4750,   0.2088 
  4.5250,   0.1756 
  4.5750,   0.1824 
  4.6250,   0.1721 
  4.6750,   0.1611 
  4.7250,   0.1312 
  4.7750,   0.0929 
  4.8250,   0.1116 
  4.8750,   0.0878 
  4.9250,   0.0767 
  4.9750,   0.0707 
  5.0250,   0.0614 
  5.0750,   0.0605 
  5.1250,   0.0571 
  5.1750,   0.0494 
  5.2250,   0.0426 
  5.2750,   0.0349 
  5.3250,   0.0239 
  5.3750,   0.0315 
  5.4250,   0.0307 
  5.4750,   0.0205 
  5.5250,   0.0205 
  5.5750,   0.0230 
  5.6250,   0.0222 
  5.6750,   0.0145 
  5.7250,   0.0136 
  5.7750,   0.0119 
  5.8250,   0.0153 
  5.8750,   0.0094 
  5.9250,   0.0111 
  5.9750,   0.0102 
  6.0250,   0.0102 
  6.0750,   0.0085 
  6.1250,   0.0051 
  6.1750,   0.0068 
  6.2250,   0.0094 
  6.2750,   0.0026 
  6.3250,   0.0051 
  6.3750,   0.0034 
  6.4250,   0.0068 
  6.4750,   0.0043 
  6.5250,   0.0026 
  6.5750,   0.0026 
  6.6250,   0.0034 
  6.6750,   0.0034 
  6.7250,   0.0077 
  6.7750,   0.0026 
  6.8250,   0.0026 
  6.8750,   0.0026 
  6.9250,   0.0009 
  6.9750,   0.0034 
  7.0250,   0.0026 
  7.0750,   0.0017 
  7.1250,   0.0060 
  7.1750,   0.0026 
  7.2250,   0.0043 
  7.2750,   0.0026 
  7.3250,   0.0017 
  7.3750,   0.0000 
  7.4250,   0.0009 
  7.4750,   0.0051 
  7.5250,   0.0034 
  7.5750,   0.0026 
  7.6250,   0.0000 
  7.6750,   0.0017 
  7.7250,   0.0034 
  7.7750,   0.0009 
  7.8250,   0.0009 
  7.8750,   0.0026 
  7.9250,   0.0000 
  7.9750,   0.0000 
  8.0250,   0.0000 
  8.0750,   0.0000 
  8.1250,   0.0009 
  8.1750,   0.0009 
  8.2250,   0.0017 
  8.2750,   0.0009 
  8.3250,   0.0000 
  8.3750,   0.0000 
  8.4250,   0.0009 
  8.4750,   0.0000 
  8.5250,   0.0000 
  8.5750,   0.0000 
  8.6250,   0.0009 
  8.6750,   0.0000 
  8.7250,   0.0017 
  8.7750,   0.0000 
  8.8250,   0.0009 
  8.8750,   0.0009 
  8.9250,   0.0009 
  8.9750,   0.0000 
  9.0250,   0.0017 
  9.0750,   0.0009 
  9.1250,   0.0000 
  9.1750,   0.0000 
  9.2250,   0.0000 
  9.2750,   0.0009 
  9.3250,   0.0009 
  9.3750,   0.0026 
  9.4250,   0.0000 
  9.4750,   0.0009 
  9.5250,   0.0009 
  9.5750,   0.0000 
  9.6250,   0.0000 
  9.6750,   0.0000 
  9.7250,   0.0009 
  9.7750,   0.0000 
  9.8250,   0.0000 
  9.8750,   0.0009 
  9.9250,   0.0000 
  9.9750,   0.0000 
 10.0250,   0.0000 
 10.0750,   0.0000 
 10.1250,   0.0000 
 10.1750,   0.0000 
 10.2250,   0.0009 
 10.2750,   0.0000 
 10.3250,   0.0000 
 10.3750,   0.0000 
 10.4250,   0.0017 
 10.4750,   0.0000 
 10.5250,   0.0000 
 10.5750,   0.0000 
 10.6250,   0.0009 
 10.6750,   0.0000 
 10.7250,   0.0000 
 10.7750,   0.0000 
 10.8250,   0.0000 
 10.8750,   0.0000 
 10.9250,   0.0000 
 10.9750,   0.0000 
 11.0250,   0.0000 
 11.0750,   0.0000 
 11.1250,   0.0000 
 11.1750,   0.0000 
 11.2250,   0.0000 
 11.2750,   0.0000 
 11.3250,   0.0000 
 11.3750,   0.0000 
 11.4250,   0.0000 
 11.4750,   0.0000 
 11.5250,   0.0000 
 11.5750,   0.0000 
 11.6250,   0.0000 
 11.6750,   0.0000 
 11.7250,   0.0000 
 11.7750,   0.0000 
 11.8250,   0.0000 
 11.8750,   0.0000 
 11.9250,   0.0000 
 11.9750,   0.0000 
 12.0250,   0.0000 
 12.0750,   0.0000 
 12.1250,   0.0000 
 12.1750,   0.0000 
 12.2250,   0.0009 
 12.2750,   0.0000 
 12.3250,   0.0000 
 12.3750,   0.0000 
 12.4250,   0.0000 
 12.4750,   0.0000 
 12.5250,   0.0000 
 12.5750,   0.0000 
 12.6250,   0.0000 
 12.6750,   0.0000 
 12.7250,   0.0000 
 12.7750,   0.0000 
 12.8250,   0.0000 
 12.8750,   0.0000 
 12.9250,   0.0000 
 12.9750,   0.0000 
 13.0250,   0.0000 
 13.0750,   0.0000 
 13.1250,   0.0000 
 13.1750,   0.0000 
 13.2250,   0.0000 
 13.2750,   0.0000 
 13.3250,   0.0000 
 13.3750,   0.0000 
 13.4250,   0.0000 
 13.4750,   0.0000 
 13.5250,   0.0000 
 13.5750,   0.0000 
 13.6250,   0.0000 
 13.6750,   0.0000 
 13.7250,   0.0000 
 13.7750,   0.0000 
 13.8250,   0.0000 
 13.8750,   0.0000 
 13.9250,   0.0000 
 13.9750,   0.0000 
